Source.Name,Column1,id,date,source,place,username,Content,hashtags,Likes,processed_text
wolvesMOS_analysisV1hashtag.xlsx,698,1466345032198283008,2021-12-02 09:54:33,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,colin_gram,Sad to learn that the Norwegian wolf is extinct - DNA tests on wild wolves confirm.The 400 wolves in Norway moved in from Finland https://t.co/ts7A3oryAP #wolves,['wolves'],6,sad to learn that the norwegian wolf is extinct  dna tests on wild wolves confirmthe 400 wolves in norway moved in from finland
wolvesMOS_analysisV2hashtag.xlsx,1613,1467473153190466048,2021-12-05 12:37:18,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,BackseatLiverFC,"""#Wolves deserved a point""

Not even remotely. There's a difference between feeling aggrieved that you were unable to get a point in the end and deserving one across the balance of play.

#WOLLIV #LFC","['Wolves', 'WOLLIV', 'LFC']",0,"deserved a point

not even remotely theres a difference between feeling aggrieved that you were unable to get a point in the end and deserving one across the balance of play"
wolvesMOS_analysisV3hashtag.xlsx,639,1474814828741079040,2021-12-25 18:50:30,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,MsWerner,Interesting statistic. #Wolves #Nature,"['Wolves', 'Nature']",5,interesting statistic
wolvesMOS_analysisV1hashtag.xlsx,206,1467175188643077888,2021-12-04 16:53:18,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,RV_ETSports,"of course - Salah the magician. And Origi has a knack of scoring important goals for #Liverpool. Heart-breaker for #Wolves. 
#WOLLIV 0-1 #EPL","['Liverpool', 'Wolves', 'WOLLIV', 'EPL']",1,"of course  salah the magician and origi has a knack of scoring important goals for  heartbreaker for  
 01"
wolvesMOS_analysisV2hashtag.xlsx,1260,1468686431379934976,2021-12-08 20:58:26,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,Wolfpackwwfc,"FT | Wolves 4-1 Salford City

Wolves have beaten Salford City at Molineux. Goals from Nathan Fraser, Owen Farmer and a double from Tyler Roberts see's us through to the fourth round of the FA Youth Cup

#WWFC #TheWolfpack #Wolves https://t.co/3oVZNlHg9C","['WWFC', 'TheWolfpack', 'Wolves']",3,"ft  wolves 41 salford city

wolves have beaten salford city at molineux goals from nathan fraser owen farmer and a double from tyler roberts sees us through to the fourth round of the fa youth cup"
wolvesMOS_analysisV3hashtag.xlsx,803,1474004035921486080,2021-12-23 13:08:42,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",,IMechanisms,"2nd #PremierLeague match for Boxing day called off due to Covid.
Follows Leeds/Liverpool announcement.

#EPL #WatfordFC #Wolves","['PremierLeague', 'EPL', 'WatfordFC', 'Wolves']",4,"2nd  match for boxing day called off due to covid
follows leedsliverpool announcement"
wolvesMOS_analysisV2hashtag.xlsx,1612,1467476724585751040,2021-12-05 12:51:30,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,IvankaKolchakov,"Up to 30% off
#poinsettia #flowers #Christmas #autumn #art #wolves #bugs #leafart #boho #wild #woodland #hoodies #shirts #mugs #cases #notebooks #pillow #Teepublic #Manitarka
https://t.co/RtIiSDNLol https://t.co/xFq6caMlGZ","['poinsettia', 'flowers', 'Christmas', 'autumn', 'art', 'wolves', 'bugs', 'leafart', 'boho', 'wild', 'woodland', 'hoodies', 'shirts', 'mugs', 'cases', 'notebooks', 'pillow', 'Teepublic', 'Manitarka']",11,up to 30 off
wolvesMOS_analysisV3hashtag.xlsx,1531,1472338017176243968,2021-12-18 22:48:32,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,pdowney88,Let’s Go #Wolves! Beat the #Admirals!,"['Wolves', 'Admirals']",0,lets go  beat the
wolvesMOS_analysisV1hashtag.xlsx,834,1466127032459354112,2021-12-01 19:28:18,"<a href=""https://syllogi.co.uk"" rel=""nofollow"">syllogiTweeter</a>",,news_images_uk,"The Wolverhampton Wanderers light show displays a W in flames before the game
@Wolves #Wolves
@BurnleyOfficial #UTC
@premierleague #PremierLeague
@SkimboydPics https://t.co/rQmlFqxSrw","['Wolves', 'UTC', 'PremierLeague']",0,the wolverhampton wanderers light show displays a w in flames before the game
wolvesMOS_analysisV3hashtag.xlsx,2123,1471119647986573056,2021-12-15 14:07:10,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",,mightywolvesfan,"Matchday Live Extra | Brighton vs Wolves #wolves #wwfc 
https://t.co/kL3fQdi8OU","['wolves', 'wwfc']",0,matchday live extra  brighton vs wolves
wolvesMOS_analysisV3hashtag.xlsx,1361,1472575241171848960,2021-12-19 14:31:11,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,mtvvmas2019live,"Newcastle vs Manchester City Live Streaming EPL
Wolves vs Chelsea Live Online
Watch Live Here:: @lovepondit007

#NewcastlevsManchesterCity
#ManchesterCity
#Newcastle
#EPL 
#Hazard 
#Chelsea 
#Wolves 
vbvbvc","['NewcastlevsManchesterCity', 'ManchesterCity', 'Newcastle', 'EPL', 'Hazard', 'Chelsea', 'Wolves']",0,"newcastle vs manchester city live streaming epl
wolves vs chelsea live online
watch live here 




 
 
 
 
vbvbvc"
