Mean accuracy: 0.7086 | Hyperparameters: {'clf__alpha': 1.0, 'vect__max_features': None, 'vect__ngram_range': (2, 2)}
Mean accuracy: 0.7197 | Hyperparameters: {'clf__alpha': 1.0, 'vect__max_features': None, 'vect__ngram_range': (1, 3)}
Mean accuracy: 0.6897 | Hyperparameters: {'clf__alpha': 10.0, 'vect__max_features': 1000, 'vect__ngram_range': (1, 1)}
Mean accuracy: 0.6662 | Hyperparameters: {'clf__alpha': 10.0, 'vect__max_features': 1000, 'vect__ngram_range': (1, 2)}
Mean accuracy: 0.5250 | Hyperparameters: {'clf__alpha': 10.0, 'vect__max_features': 1000, 'vect__ngram_range': (2, 2)}
Mean accuracy: 0.6629 | Hyperparameters: {'clf__alpha': 10.0, 'vect__max_features': 1000, 'vect__ngram_range': (1, 3)}
Mean accuracy: 0.7323 | Hyperparameters: {'clf__alpha': 10.0, 'vect__max_features': 5000, 'vect__ngram_range': (1, 1)}
Mean accuracy: 0.7148 | Hyperparameters: {'clf__alpha': 10.0, 'vect__max_features': 5000, 'vect__ngram_range': (1, 2)}
Mean accuracy: 0.6051 | Hyperparameters: {'clf__alpha': 10.0, 'vect__max_features': 5000, 'vect__ngram_range': (2, 2)}
Mean accuracy: 0.7098 | Hyperparameters: {'clf__alpha': 10.0, 'vect__max_features': 5000, 'vect__ngram_range': (1, 3)}
Mean accuracy: 0.7380 | Hyperparameters: {'clf__alpha': 10.0, 'vect__max_features': 10000, 'vect__ngram_range': (1, 1)}
Mean accuracy: 0.7255 | Hyperparameters: {'clf__alpha': 10.0, 'vect__max_features': 10000, 'vect__ngram_range': (1, 2)}
Mean accuracy: 0.6354 | Hyperparameters: {'clf__alpha': 10.0, 'vect__max_features': 10000, 'vect__ngram_range': (2, 2)}
Mean accuracy: 0.7204 | Hyperparameters: {'clf__alpha': 10.0, 'vect__max_features': 10000, 'vect__ngram_range': (1, 3)}
Mean accuracy: 0.7130 | Hyperparameters: {'clf__alpha': 10.0, 'vect__max_features': None, 'vect__ngram_range': (1, 1)}
Mean accuracy: 0.6698 | Hyperparameters: {'clf__alpha': 10.0, 'vect__max_features': None, 'vect__ngram_range': (1, 2)}
Mean accuracy: 0.6624 | Hyperparameters: {'clf__alpha': 10.0, 'vect__max_features': None, 'vect__ngram_range': (2, 2)}
Mean accuracy: 0.6597 | Hyperparameters: {'clf__alpha': 10.0, 'vect__max_features': None, 'vect__ngram_range': (1, 3)}
Mean accuracy: 0.6875 | Hyperparameters: {'clf__alpha': 100.0, 'vect__max_features': 1000, 'vect__ngram_range': (1, 1)}
Mean accuracy: 0.6643 | Hyperparameters: {'clf__alpha': 100.0, 'vect__max_features': 1000, 'vect__ngram_range': (1, 2)}
Mean accuracy: 0.5237 | Hyperparameters: {'clf__alpha': 100.0, 'vect__max_features': 1000, 'vect__ngram_range': (2, 2)}
Mean accuracy: 0.6615 | Hyperparameters: {'clf__alpha': 100.0, 'vect__max_features': 1000, 'vect__ngram_range': (1, 3)}
Mean accuracy: 0.7220 | Hyperparameters: {'clf__alpha': 100.0, 'vect__max_features': 5000, 'vect__ngram_range': (1, 1)}
Mean accuracy: 0.7097 | Hyperparameters: {'clf__alpha': 100.0, 'vect__max_features': 5000, 'vect__ngram_range': (1, 2)}
Mean accuracy: 0.5995 | Hyperparameters: {'clf__alpha': 100.0, 'vect__max_features': 5000, 'vect__ngram_range': (2, 2)}
Mean accuracy: 0.7051 | Hyperparameters: {'clf__alpha': 100.0, 'vect__max_features': 5000, 'vect__ngram_range': (1, 3)}
Mean accuracy: 0.7157 | Hyperparameters: {'clf__alpha': 100.0, 'vect__max_features': 10000, 'vect__ngram_range': (1, 1)}
Mean accuracy: 0.7154 | Hyperparameters: {'clf__alpha': 100.0, 'vect__max_features': 10000, 'vect__ngram_range': (1, 2)}
Mean accuracy: 0.6241 | Hyperparameters: {'clf__alpha': 100.0, 'vect__max_features': 10000, 'vect__ngram_range': (2, 2)}
Mean accuracy: 0.7114 | Hyperparameters: {'clf__alpha': 100.0, 'vect__max_features': 10000, 'vect__ngram_range': (1, 3)}
Mean accuracy: 0.6179 | Hyperparameters: {'clf__alpha': 100.0, 'vect__max_features': None, 'vect__ngram_range': (1, 1)}
Mean accuracy: 0.6134 | Hyperparameters: {'clf__alpha': 100.0, 'vect__max_features': None, 'vect__ngram_range': (1, 2)}
Mean accuracy: 0.6200 | Hyperparameters: {'clf__alpha': 100.0, 'vect__max_features': None, 'vect__ngram_range': (2, 2)}
Mean accuracy: 0.6148 | Hyperparameters: {'clf__alpha': 100.0, 'vect__max_features': None, 'vect__ngram_range': (1, 3)}
Best parameters:  {'clf__alpha': 1.0, 'vect__max_features': None, 'vect__ngram_range': (1, 1)}
Accuracy on test data: 0.7398
