Mean accuracy: 0.6897 | Hyperparameters: {'clf__alpha': 0.5, 'vect__max_features': None, 'vect__ngram_range': (2, 2)}
Mean accuracy: 0.7114 | Hyperparameters: {'clf__alpha': 0.5, 'vect__max_features': None, 'vect__ngram_range': (1, 3)}
Mean accuracy: 0.6919 | Hyperparameters: {'clf__alpha': 1.0, 'vect__max_features': 1000, 'vect__ngram_range': (1, 1)}
Mean accuracy: 0.6676 | Hyperparameters: {'clf__alpha': 1.0, 'vect__max_features': 1000, 'vect__ngram_range': (1, 2)}
Mean accuracy: 0.5655 | Hyperparameters: {'clf__alpha': 1.0, 'vect__max_features': 1000, 'vect__ngram_range': (2, 2)}
Mean accuracy: 0.6642 | Hyperparameters: {'clf__alpha': 1.0, 'vect__max_features': 1000, 'vect__ngram_range': (1, 3)}
Mean accuracy: 0.7318 | Hyperparameters: {'clf__alpha': 1.0, 'vect__max_features': 5000, 'vect__ngram_range': (1, 1)}
Mean accuracy: 0.7143 | Hyperparameters: {'clf__alpha': 1.0, 'vect__max_features': 5000, 'vect__ngram_range': (1, 2)}
Mean accuracy: 0.6243 | Hyperparameters: {'clf__alpha': 1.0, 'vect__max_features': 5000, 'vect__ngram_range': (2, 2)}
Mean accuracy: 0.7102 | Hyperparameters: {'clf__alpha': 1.0, 'vect__max_features': 5000, 'vect__ngram_range': (1, 3)}
Mean accuracy: 0.7354 | Hyperparameters: {'clf__alpha': 1.0, 'vect__max_features': 10000, 'vect__ngram_range': (1, 1)}
Mean accuracy: 0.7244 | Hyperparameters: {'clf__alpha': 1.0, 'vect__max_features': 10000, 'vect__ngram_range': (1, 2)}
Mean accuracy: 0.6485 | Hyperparameters: {'clf__alpha': 1.0, 'vect__max_features': 10000, 'vect__ngram_range': (2, 2)}
Mean accuracy: 0.7190 | Hyperparameters: {'clf__alpha': 1.0, 'vect__max_features': 10000, 'vect__ngram_range': (1, 3)}
Mean accuracy: 0.7328 | Hyperparameters: {'clf__alpha': 1.0, 'vect__max_features': None, 'vect__ngram_range': (1, 1)}
Mean accuracy: 0.7179 | Hyperparameters: {'clf__alpha': 1.0, 'vect__max_features': None, 'vect__ngram_range': (1, 2)}
Mean accuracy: 0.6861 | Hyperparameters: {'clf__alpha': 1.0, 'vect__max_features': None, 'vect__ngram_range': (2, 2)}
Mean accuracy: 0.7012 | Hyperparameters: {'clf__alpha': 1.0, 'vect__max_features': None, 'vect__ngram_range': (1, 3)}
Mean accuracy: 0.6913 | Hyperparameters: {'clf__alpha': 10.0, 'vect__max_features': 1000, 'vect__ngram_range': (1, 1)}
Mean accuracy: 0.6668 | Hyperparameters: {'clf__alpha': 10.0, 'vect__max_features': 1000, 'vect__ngram_range': (1, 2)}
Mean accuracy: 0.5646 | Hyperparameters: {'clf__alpha': 10.0, 'vect__max_features': 1000, 'vect__ngram_range': (2, 2)}
Mean accuracy: 0.6639 | Hyperparameters: {'clf__alpha': 10.0, 'vect__max_features': 1000, 'vect__ngram_range': (1, 3)}
Mean accuracy: 0.7287 | Hyperparameters: {'clf__alpha': 10.0, 'vect__max_features': 5000, 'vect__ngram_range': (1, 1)}
Mean accuracy: 0.7127 | Hyperparameters: {'clf__alpha': 10.0, 'vect__max_features': 5000, 'vect__ngram_range': (1, 2)}
Mean accuracy: 0.6221 | Hyperparameters: {'clf__alpha': 10.0, 'vect__max_features': 5000, 'vect__ngram_range': (2, 2)}
Mean accuracy: 0.7085 | Hyperparameters: {'clf__alpha': 10.0, 'vect__max_features': 5000, 'vect__ngram_range': (1, 3)}
Mean accuracy: 0.7300 | Hyperparameters: {'clf__alpha': 10.0, 'vect__max_features': 10000, 'vect__ngram_range': (1, 1)}
Mean accuracy: 0.7219 | Hyperparameters: {'clf__alpha': 10.0, 'vect__max_features': 10000, 'vect__ngram_range': (1, 2)}
Mean accuracy: 0.6447 | Hyperparameters: {'clf__alpha': 10.0, 'vect__max_features': 10000, 'vect__ngram_range': (2, 2)}
Mean accuracy: 0.7163 | Hyperparameters: {'clf__alpha': 10.0, 'vect__max_features': 10000, 'vect__ngram_range': (1, 3)}
Mean accuracy: 0.6887 | Hyperparameters: {'clf__alpha': 10.0, 'vect__max_features': None, 'vect__ngram_range': (1, 1)}
Mean accuracy: 0.6475 | Hyperparameters: {'clf__alpha': 10.0, 'vect__max_features': None, 'vect__ngram_range': (1, 2)}
Mean accuracy: 0.6429 | Hyperparameters: {'clf__alpha': 10.0, 'vect__max_features': None, 'vect__ngram_range': (2, 2)}
Mean accuracy: 0.6398 | Hyperparameters: {'clf__alpha': 10.0, 'vect__max_features': None, 'vect__ngram_range': (1, 3)}
Best parameters:  {'clf__alpha': 1.0, 'vect__max_features': 10000, 'vect__ngram_range': (1, 1)}
Accuracy on test data: 0.7397
